,ROUTE,count,DEST,ORIGIN
321,"Row(_1=u'10821', _2=u'13204')",10709,MCO,BWI
322,"Row(_1=u'12889', _2=u'13796')",10625,OAK,LAS
323,"Row(_1=u'14831', _2=u'14679')",10606,SAN,SJC
324,"Row(_1=u'14679', _2=u'14831')",10595,SJC,SAN
325,"Row(_1=u'13342', _2=u'10397')",10595,ATL,MKE
326,"Row(_1=u'10397', _2=u'13342')",10587,MKE,ATL
327,"Row(_1=u'10994', _2=u'10397')",10576,ATL,CHS
328,"Row(_1=u'10397', _2=u'10994')",10576,CHS,ATL
329,"Row(_1=u'12264', _2=u'11292')",10538,DEN,IAD
330,"Row(_1=u'14107', _2=u'14893')",10485,SMF,PHX
331,"Row(_1=u'14893', _2=u'14107')",10475,PHX,SMF
332,"Row(_1=u'14771', _2=u'10397')",10430,ATL,SFO
333,"Row(_1=u'10397', _2=u'14771')",10426,SFO,ATL
334,"Row(_1=u'14679', _2=u'11298')",10391,DFW,SAN
335,"Row(_1=u'11298', _2=u'14679')",10391,SAN,DFW
336,"Row(_1=u'14831', _2=u'14107')",10374,PHX,SJC
337,"Row(_1=u'14747', _2=u'14679')",10359,SAN,SEA
338,"Row(_1=u'14679', _2=u'14747')",10354,SEA,SAN
339,"Row(_1=u'14107', _2=u'14831')",10350,SJC,PHX
340,"Row(_1=u'12889', _2=u'14570')",10347,RNO,LAS
341,"Row(_1=u'10721', _2=u'11298')",10346,DFW,BOS
342,"Row(_1=u'11292', _2=u'12264')",10345,IAD,DEN
343,"Row(_1=u'14570', _2=u'12889')",10336,LAS,RNO
344,"Row(_1=u'14771', _2=u'14869')",10307,SLC,SFO
345,"Row(_1=u'14685', _2=u'10397')",10289,ATL,SAV
346,"Row(_1=u'10397', _2=u'14685')",10288,SAV,ATL
347,"Row(_1=u'11278', _2=u'11298')",10278,DFW,DCA
348,"Row(_1=u'11298', _2=u'11278')",10263,DCA,DFW
349,"Row(_1=u'11298', _2=u'10721')",10251,BOS,DFW
350,"Row(_1=u'13930', _2=u'10693')",10248,BNA,ORD
351,"Row(_1=u'13204', _2=u'11057')",10145,CLT,MCO
352,"Row(_1=u'11057', _2=u'13204')",10143,MCO,CLT
353,"Row(_1=u'12889', _2=u'10800')",10141,BUR,LAS
354,"Row(_1=u'14107', _2=u'14057')",10139,PDX,PHX
355,"Row(_1=u'10599', _2=u'10397')",10139,ATL,BHM
356,"Row(_1=u'10397', _2=u'10599')",10137,BHM,ATL
357,"Row(_1=u'14057', _2=u'14107')",10131,PHX,PDX
358,"Row(_1=u'13204', _2=u'13303')",10126,MIA,MCO
359,"Row(_1=u'13303', _2=u'13204')",10124,MCO,MIA
360,"Row(_1=u'11193', _2=u'13930')",10103,ORD,CVG
361,"Row(_1=u'10800', _2=u'12889')",10065,LAS,BUR
362,"Row(_1=u'10423', _2=u'10397')",10042,ATL,AUS
363,"Row(_1=u'13487', _2=u'12892')",10039,LAX,MSP
364,"Row(_1=u'12892', _2=u'13487')",10036,MSP,LAX
365,"Row(_1=u'11057', _2=u'13303')",10033,MIA,CLT
366,"Row(_1=u'13303', _2=u'11057')",10031,CLT,MIA
367,"Row(_1=u'10397', _2=u'10423')",10031,AUS,ATL
368,"Row(_1=u'10693', _2=u'13930')",9984,ORD,BNA
369,"Row(_1=u'12191', _2=u'13495')",9974,MSY,HOU
370,"Row(_1=u'13495', _2=u'12191')",9969,HOU,MSY
371,"Row(_1=u'13244', _2=u'10397')",9926,ATL,MEM
372,"Row(_1=u'10397', _2=u'13244')",9924,MEM,ATL
373,"Row(_1=u'14107', _2=u'13891')",9902,ONT,PHX
374,"Row(_1=u'11057', _2=u'11433')",9874,DTW,CLT
375,"Row(_1=u'13891', _2=u'14107')",9866,PHX,ONT
376,"Row(_1=u'11433', _2=u'11057')",9857,CLT,DTW
377,"Row(_1=u'13303', _2=u'11278')",9842,DCA,MIA
378,"Row(_1=u'11278', _2=u'13303')",9840,MIA,DCA
379,"Row(_1=u'13930', _2=u'11193')",9811,CVG,ORD
380,"Row(_1=u'13232', _2=u'11292')",9786,DEN,MDW
381,"Row(_1=u'14683', _2=u'10397')",9774,ATL,SAT
382,"Row(_1=u'10397', _2=u'14683')",9771,SAT,ATL
383,"Row(_1=u'14100', _2=u'11057')",9754,CLT,PHL
384,"Row(_1=u'10397', _2=u'12264')",9737,IAD,ATL
385,"Row(_1=u'11292', _2=u'13232')",9717,MDW,DEN
386,"Row(_1=u'12266', _2=u'14107')",9659,PHX,IAH
387,"Row(_1=u'13303', _2=u'12892')",9658,LAX,MIA
388,"Row(_1=u'12892', _2=u'13303')",9658,MIA,LAX
389,"Row(_1=u'14107', _2=u'12266')",9639,IAH,PHX
390,"Row(_1=u'13495', _2=u'12266')",9546,IAH,MSY
391,"Row(_1=u'12266', _2=u'13303')",9519,MIA,IAH
392,"Row(_1=u'13303', _2=u'12266')",9508,IAH,MIA
393,"Row(_1=u'14908', _2=u'11298')",9507,DFW,SNA
394,"Row(_1=u'11298', _2=u'14908')",9505,SNA,DFW
395,"Row(_1=u'13930', _2=u'11066')",9501,CMH,ORD
396,"Row(_1=u'13487', _2=u'13232')",9479,MDW,MSP
397,"Row(_1=u'11292', _2=u'13204')",9466,MCO,DEN
398,"Row(_1=u'15304', _2=u'11057')",9454,CLT,TPA
399,"Row(_1=u'14908', _2=u'14831')",9435,SJC,SNA
400,"Row(_1=u'13204', _2=u'11292')",9435,DEN,MCO
401,"Row(_1=u'12264', _2=u'10397')",9433,ATL,IAD
402,"Row(_1=u'14831', _2=u'14908')",9432,SNA,SJC
403,"Row(_1=u'13232', _2=u'13487')",9399,MSP,MDW
404,"Row(_1=u'10721', _2=u'13204')",9387,MCO,BOS
405,"Row(_1=u'13204', _2=u'10721')",9382,BOS,MCO
406,"Row(_1=u'14679', _2=u'14893')",9373,SMF,SAN
407,"Row(_1=u'11298', _2=u'14869')",9359,SLC,DFW
